input,response
"2024년 12월 04일에 코레일, 총파업, 비상수송, 체제, 철도노조, 열차운행  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)가 5일로 예정된 철도노조의 총파업에 대비해 비상 수송 체제에 돌입했다. 4일 코레일에 따르면 비상 수송 대책본부를 24시간 운영하며 열차 운행 조정과 안전대책 수립 등 파업 대비 종합 대책을... 
"2024년 12월 04일에 컨소시엄, 샬롬엔지니어링, 궤도안전 와 관련된 뉴스의 내용은?","<b>한국철도공사</b>와 컨소시엄을 통해 샬롬엔지니어링은 궤도 안전 분야의 독보적인 전문성을 바탕으로 궤도 안전 컨설팅을 시행하고 기자재 보급, 유지 보수 개량, 거점센터 구축, 전문인력 양성, 가이드라인 제작 및... "
"2024년 12월 04일에 박상우, 국토교통부, 철도파업, 대비, 수송대책, 경찰청, 고용노동부  와 관련된 뉴스의 내용은?","박상우 국토교통부 장관이 4일 오후 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b>(코레일) 등 관계기관과 함께 코레일 노사 간 협상이 결렬될 경우를 대비해 철도파업 대비 수송대책 점검회의... "
"2024년 12월 04일에 노조, 파업, 수인분당선, 경강선, 서울도시철도 와 관련된 뉴스의 내용은?","시는 두 노조의 파업으로 <b>한국철도공사</b>(코레일)가 운영하는 수인분당선(복정역~오리역)과 경강선(판교역~이매역), 서울도시철도 8호선(복정역~모란역) 운행에 차질이 불가피할 것으로 보고 있다. 파업이 예정대로... "
"2024년 12월 04일에 기본급, 인상, 철도, 총파업, 오는, 교대  와 관련된 뉴스의 내용은?",앞서 철도노조는 오는 5일 철도 총파업을 예고하며 <b>한국철도공사</b>(코레일)에 △기본급 2.5% 인상 △4조 2교대 승인 △안전 인력 충원 △성과급 정상 지급(231억원 임금체불 해결) △외주화·인력감축 중단 △공정한... 
"2024년 12월 04일에 전국철도노동조합, 총파업, 무기한 와 관련된 뉴스의 내용은?",코레일 사옥 (사진=코레일) <b>한국철도공사</b>(코레일)는 전국철도노동조합에서 오는 5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. 코레일은 부사장을 중심으로... 
"2024년 12월 04일에 총파업, 노조, 교섭, 파업, 철도노조 와 관련된 뉴스의 내용은?",출근 시간대에는 평시 대비 90%대로 전국철도노동조합 총파업을 하루 앞둔 4일 서울 용산구 <b>한국철도공사</b> 서울본부에서 사측 대표위원 한문희 코레일 사장과 노조 측 대표위원 최명호 철도노조 위원장이 막판 교섭을... 
"2024년 12월 04일에 전국철도노동조합, 무기한, 총파업, 예고에, 따른, 비상수송체제 와 관련된 뉴스의 내용은?",뉴스토마토 = 윤영혜 기자 | <b>한국철도공사</b>(코레일)는 전국철도노동조합이 5일부터 무기한 총파업을 예고한 데 대해 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔습니다. 코레일은 부사장을 중심으로... 
"2024년 12월 04일에 국토부, 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도  와 관련된 뉴스의 내용은?","국토부는 4일 박 장관이 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b>(코레일) 등 관계기관과 '철도파업 대비 수송대책 점검회의'를 주재했다고 밝혔다. 박상우 국토교통부 장관(왼쪽)이 4일... "
"2024년 12월 04일에 국토교통부, 철도운영법, 위반, 노동쟁의, 무기한, 총파업, 전국철도노동조합  와 관련된 뉴스의 내용은?",[사진=연합뉴스] 전국철도노동조합이 오는 5일부터 무기한 총파업을 예고한 가운데 <b>한국철도공사</b>(코레일)는 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. 코레일은 부사장을 중심으로 24시간... 
"2024년 12월 04일에 국민철도, 한국, 철도, 공사, 노동조합, 총파업, 민주노총  와 관련된 뉴스의 내용은?",민주노동조합총연맹(민노총) 산하 전국철도노동조합이 5일 총파업을 예고하자 <b>한국철도공사</b>(코레일)은 비상수송체제에 돌입하며 대응 채비에 나섰다. 코레일은 부사장을 중심으로 24시간 비상대책본부를 운영하는 등... 
"2024년 12월 04일에 코레일, 전국철도노동조합, 총파업, 열차운행, 안전비상수송체제 비상대책본부 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합에서 5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. 코레일은 부사장을 중심으로 24시간 비상대책본부를 운영하는... 
"2024년 12월 04일에 무기한, 총파업, 열차운행비상, 방안, 철도, 노조  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합(철도노조)이 5일부터 무기한 총파업 돌입을 예고함에 따라 열차 안전 운행을 위한 비상 수송체계를 구축하고 시행에 들어갔다고 4일 밝혔다. 전국철도노동조합이 예고한... 
"2024년 12월 04일에 코레일, 열차, 운행, 비상수송, 체제, 안전  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)가 열차 안전 운행을 위한 비상수송체제에 돌입한다고 4일 밝혔다. 이는 전국철도노동조합에서 오는 5일부터 무기한 총파업을 예고한 데 따른 것이다. 코레일은 부사장을 중심으로 24시간... 
"2024년 12월 04일에 무기한총파업, 전국철도노동조합, 열차안전운행, 비상수송체제 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합이 5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. 코레일은 부사장을 중심으로 24시간 비상대책본부를 운영하는... 
"2024년 12월 04일에 국민안전, 총동원, 철도노조, 무기한총파업, 안전수송, 전국철도노동조합  와 관련된 뉴스의 내용은?",가용자원 총동원 안전수송  전국철도노동조합(철도노조)이 5일부터 무기한 총파업 돌입을 예고함에 따라 <b>한국철도공사</b>(코레일)는 부사장을 중심으로 열차 안전 운행을 위한 24시간 비상대책본부 운영 및 수송체계 구축... 
"2024년 12월 04일에 국제교류, 파업, 투쟁, 전환, 총파업, 시민참여, 노동조합  와 관련된 뉴스의 내용은?",전국철도노동조합 총파업을 하루 앞둔 4일 서울 용산구 <b>한국철도공사</b> 서울본부에서 노조측 대표위원인 최명호 철도노조 위원장이 사측과 막판 교섭을 위해 입장하고 있다. 철도노조는 이날 진행되는 사측과의 막판... 
"2024년 12월 04일에 철도, 노조, 파업, 교섭, 비상수송체제 와 관련된 뉴스의 내용은?",양측은 이날 오후 4시가 넘어서야 사측인 <b>한국철도공사</b>(코레일)과 최종 교섭에 들어갔다. 코레일은 철도노조에서 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 밝혔다. 이용객이 많은... 
"2024년 12월 04일에 철도공사, 열차, 열차 와 관련된 뉴스의 내용은?",연합뉴스 보도에 따르면 4일 <b>한국철도공사</b>(코레일)은 열차 안전 운행을 위한 비상 수송체계를 구축하고 시행에 들어갔다고 밝혔다. 특히 이용객이 많은 출퇴근 시간대 수도권 전철과 KTX 열차에 운전 경력이 있는... 
"2024년 12월 04일에 한국철도, 노동조합, 열차, 안전, 무기한, 총파업  와 관련된 뉴스의 내용은?",KTX 열차.©열린뉴스통신ONA=김희선 기자 <b>한국철도공사</b>(코레일)가 전국철도노동조합에서 오는 5일부터 무기한 총파업을 예고해 열차 안전 운행을 위한 비상수송체제에 돌입한다. 코레일은 24시간 비상대책본부를... 
"2024년 12월 04일에 무기한, 총파업, 열차, 안전, 운행  와 관련된 뉴스의 내용은?",전국철도노동조합이 5일부터 무기한 총파업을 예고함에 따라 <b>한국철도공사</b>(코레일)가 열차 안전 운행을 위한 비상 수송 체제에 돌입했다고 4일 밝혔다. 코레일은 부사장을 중심으로 24시간 비상 대책본부를 운영하고... 
"2024년 12월 04일에 전국철도노동조합, 무기한, 총파업, 열차, 안전운행 비상수송체제 와 관련된 뉴스의 내용은?",사진=연합뉴스 <b>한국철도공사</b>(코레일)는 전국철도노동조합에서 12월5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. 코레일 측은 &quot;부사장을 중심으로 24시간... 
"2024년 12월 04일에 파업, 철도, 공사, 수인분당선, 경강선, 서울교통공사  와 관련된 뉴스의 내용은?","시는 5일 <b>한국철도공사</b>(코레일)의 파업으로 관내 구간 수인분당선(복정역~오리역)과 경강선(판교역~이매역)의 운행에 차질이 예상되며, 이어 6일로 예고된 서울교통공사 파업으로 서울도시철도 8호선(복정역~모란역)의... "
"2024년 12월 04일에 전국철도노동조합, 무기한총파업, 예고, 열차운행, 비상수송체제 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)가 전국철도노동조합의 무기한 총파업 예고에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다고 4일 밝혔다. / 사진 = 코레일 <b>한국철도공사</b>(코레일)가 전국철도노동조합의 무기한 총파업... 
"2024년 12월 04일에 한국, 철도, 노조, 전국, 철도, 노조  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)가 5일 예고된 전국철도노조 총파업에 대비한 비상수송체제를 가동한다. 이에 따라 코레일은 24시간 비상대책본부 마련하고 가용 자원을 총동원할 방침이다. 특히 출퇴근 시간대 수도권 전철과... 
"2024년 12월 04일에 파업, 서울교통공사, 수인분당선, 경강선 서울도시철도 와 관련된 뉴스의 내용은?",성남시는 5일 <b>한국철도공사</b>(코레일)의 파업으로 관내 구간 수인분당선(복정역~오리역)과 경강선(판교역~이매역)의 운행에 차질이 예상되며 이어 6일로 예고된 서울교통공사 파업으로 서울도시철도 8호선(복정역... 
"2024년 12월 04일에 철도노조, 무기한, 총파업, 비상수송체제 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)가 철도노조 무기한 총파업에 비상수송체제에 돌입했다. 24시간 비상대책본부를 운영하고 가용 자원을 총동원해 안전 수송에 만전을 기할 방침이다. 코레일은 전국철도노동조합에서 오는 5일부터... 
"2024년 12월 04일에 코레일, 무기한, 총파업, 열차, 안전, 운행  와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 4일 철도노조가 5일부터 무기한 총파업을 예고함에 따라 열차 안전 운행을 위한 비상수송체제에 돌입했다. 코레일 부사장을 중심으로 24시간 비상대책본부를 운영하는 등 철도노조 파업 대응... 
"2024년 12월 04일에 국토교통부, 행정안전부, 고용노동부, 경찰청, 서울시, 인천시  와 관련된 뉴스의 내용은?","국토교통부는 4일 행정안전부, 고용노동부, 경찰청, 서울시, 인천시, 경기도, <b>한국철도공사</b> 등 관계기관과 철도파업 대비 수송대책 점검회의를 가졌다고 밝혔다. 박상우 장관이 주재한 이번 회의는 코레일 노사 간 협상이... "
"2024년 12월 04일에 국토안전시스템, 철도노조, 출퇴근시간, 가용자원 와 관련된 뉴스의 내용은?",가용자원 총동원 안전수송…출퇴근시간 43개역에 질서유지요원 187명 배치 <b>한국철도공사</b>(코레일)는 전국철도노동조합(철도노조)이 5일부터 무기한 총파업 돌입을 예고함에 따라 열차 안전 운행을 위한 비상 수송체계를... 
"2024년 12월 04일에 파업, 철도운행차질, 수인분당선, 경강선, 서울교통공사 파업 와 관련된 뉴스의 내용은?","4일 성남시에 따르면 5일 <b>한국철도공사</b>(코레일)의 파업으로 관내 구간 수인분당선(복정역~오리역)과 경강선(판교역~이매역)의 운행에 차질이 예상되며, 이어 6일로 예고된 서울교통공사 파업으로 서울도시철도 8호선... "
"2024년 12월 04일에 노조파업, 열차안전운행, 총파업 와 관련된 뉴스의 내용은?",<b>한국철도공사</b>(코레일)는 전국철도노동조합에서 5일부터 무기한 총파업을 예고함에 따라 열차 안전운행을 위해 종합대책을 마련하고 비상수송체제에 돌입했다고 4일 밝혔다. 종합대책에 따라 코레일은 부사장을... 
"2024년 12월 04일에 철도노조, 파업, 수인분당선, 경강선, 서울교통공사 도심교통 와 관련된 뉴스의 내용은?","철도노조의 파업으로 <b>한국철도공사</b>(코레일)가 운영하는 수인분당선(복정역오리역)과 경강선(판교역이매역)의 운행에 차질이 예상되며, 이어 6일 서울교통공사 파업 시 서울도시철도 8호선(복정역~모란역)의 운행도... "
"2024년 12월 04일에 한국철도공사코레일, 전국철도노동조합, 무기한총파업, 열차안전운행, 이용객불편, 비상수송체제 와 관련된 뉴스의 내용은?","<b>한국철도공사</b>(코레일)가 전국철도노동조합이 5일부터 무기한 총파업에 돌입한다고 예고함에 따라, 열차 안전 운행과 이용객 불편을 최소화하기 위한 비상수송체제를 즉각 가동한다. 코레일은 부사장을 중심으로 한... "
